"2007/01/22","03:00","EUR","L","German PPI m/m","0.0%","0.1%","0.0%","","03417"
"2007/01/22","04:15","CHF","M","PPI m/m","0.0%","0.1%","0.0%","","03450"
"2007/01/22","07:00","EUR","M","German Buba Monthly Report","","","","","50123"
"2007/01/23","02:45","EUR","M","French Consumer Spending m/m","1.3%","0.3%","0.9%","","11249"
"2007/01/23","06:00","EUR","M","Industrial New Orders m/m","1.4%","1.0%","-0.5%","-0.6%","03451"
"2007/01/23","07:00","GBP","M","CBI Industrial Order Expectations","-9","-5","-5","","03452"
"2007/01/23","08:00","CAD","H","Core CPI m/m","-0.2%","0.0%","0.3%","","03422"
"2007/01/23","08:00","CAD","M","CPI m/m","0.2%","0.2%","0.2%","","03421"
"2007/01/23","09:30","CAD","H","Core Retail Sales m/m","0.1%","0.5%","-0.8%","-0.7%","03420"
"2007/01/23","09:30","CAD","L","Leading Index m/m","0.3%","0.4%","0.5%","","03423"
"2007/01/23","09:30","CAD","M","Retail Sales m/m","0.2%","0.9%","-0.8%","-0.7%","03419"
"2007/01/23","11:00","USD","L","CB Leading Index m/m","0.3%","0.2%","0.0%","0.1%","03418"
"2007/01/23","11:00","USD","L","Richmond Manufacturing Index","-11","-8","-6","","03453"
"2007/01/23","15:00","GBP","M","BOE Gov King Speaks","","","","","03457"
"2007/01/23","19:00","AUD","L","CB Leading Index m/m","0.2%","","0.3%","","03454"
"2007/01/23","19:50","JPY","L","All Industries Activity m/m","-0.2%","0.0%","1.7%","","03424"
"2007/01/23","19:50","JPY","M","Monetary Policy Meeting Minutes","","","","","10390"
"2007/01/23","20:30","AUD","H","CPI q/q","-0.1%","0.2%","0.9%","","03425"
"2007/01/23","20:30","AUD","M","Trimmed Mean CPI q/q","0.5%","0.7%","0.7%","","08744"
"2007/01/23","21:00","NZD","L","Credit Card Spending y/y","10.1%","","7.8%","","09593"
"2007/01/24","00:01","ALL","M","WEF Annual Meetings [Day 1]","","","","","15602"
"2007/01/24","05:30","GBP","H","MPC Official Bank Rate Votes","5-0-4","8-0-1","0-0-9","","03427"
"2007/01/24","05:30","GBP","H","Prelim GDP q/q","0.8%","0.7%","0.7%","","03426"
"2007/01/24","05:30","GBP","L","Index of Services 3m/3m","1.0%","0.9%","1.0%","0.9%","03459"
"2007/01/24","06:12","EUR","L","German 30-y Bond Auction","4.11|1.2","","4.23|1.5","","43163"
"2007/01/24","10:00","EUR","M","Belgian NBB Business Climate","2.1","2.6","2.5","","10510"
"2007/01/24","11:30","USD","L","Crude Oil Inventories","0.7M","1.3M","6.8M","","03448"
"2007/01/24","16:00","NZD","H","Official Cash Rate","7.25%","7.25%","7.25%","","03428"
"2007/01/24","16:00","NZD","H","RBNZ Rate Statement","","","","","07999"
"2007/01/24","19:00","NZD","L","Business NZ Manufacturing Index","54.2","","55.1","55.4","09206"
"2007/01/24","19:50","JPY","L","Trade Balance","0.66T","0.87T","0.98T","0.99T","03357"
"2007/01/24","22:00","CNY","H","GDP q/y","10.4%","10.2%","10.6%","10.4%","18423"
"2007/01/24","22:00","CNY","H","Industrial Production y/y","14.7%","15.0%","14.9%","","18472"
"2007/01/24","22:00","CNY","L","Retail Sales y/y","14.6%","14.3%","14.1%","","23265"
"2007/01/24","22:00","CNY","M","CPI y/y","2.8%","1.9%","1.9%","","18539"
"2007/01/24","22:00","CNY","M","Fixed Asset Investment ytd/y","24.5%","26.3%","26.6%","","19727"
"2007/01/24","22:00","CNY","M","NBS Press Conference","","","","","23225"
"2007/01/24","22:00","CNY","M","PPI y/y","3.1%","2.9%","2.8%","","18557"
"2007/01/25","00:01","ALL","M","WEF Annual Meetings [Day 2]","","","","","15603"
"2007/01/25","00:01","AUD","N","Bank Holiday [All Day]","","","","","12134"
"2007/01/25","03:00","EUR","L","GfK German Consumer Climate","4.8","8.6","8.5","8.7","03441"
"2007/01/25","05:00","EUR","H","German Ifo Business Climate","107.9","108.9","108.7","","03444"
"2007/01/25","05:00","EUR","L","Current Account","-2.0B","0.7B","1.8B","0.0B","03446"
